Index,Time,Gene1,Gene2,Gene3,Gene4,Gene5,Gene6,Gene7,Gene8,Gene9,Gene10,Gene11,Gene12,Gene13,Gene14,Gene15,Gene16,Gene17,Gene18,Gene19,Gene20,Gene21,Gene22,Gene23,Gene24,Gene25,Gene26,Gene27,Gene28,Gene29,Gene30,Gene31,Gene32,Gene33,Gene34,Gene35,Gene36,Gene37,Gene38,Gene39,Gene40,Gene61,Gene62,Gene63,Gene64,Gene65,Gene66,Gene67,Gene68,Gene69,Gene70,Gene71,Gene72,Gene73,Gene74,Gene75,Gene76,Gene77,Gene78,Gene79,Gene80,Gene41,Gene42,Gene43,Gene44,Gene45,Gene46,Gene47,Gene48,Gene49,Gene50,Gene51,Gene52,Gene53,Gene54,Gene55,Gene56,Gene57,Gene58,Gene59,Gene60
Cell1,0,1,2,0,1,2,2,3,2,2,11,17,28,15,134,42,19,5,8,61,8,1,1,0,0,0,1,1,3,2,1,12,39,105,54,14,90,9,6,48,3,89,1910,1009,636,2807,616,56,123,358,311,148,807,234,327,115,930,28,148,4849,1644,0,0,0,1,0,1,1,2,1,2,4,19,32,39,67,39,2,0,34,26
Cell2,0.002004008016032064,2,0,3,1,1,0,3,3,4,1,13,60,17,51,5,123,10,0,37,15,1,1,1,2,1,1,1,0,1,5,10,14,21,12,33,25,14,2,34,106,238,2495,1541,1099,2864,110,200,145,303,211,369,705,101,970,474,4447,271,116,4502,493,3,1,2,0,0,0,0,2,4,1,17,98,18,67,90,21,5,12,37,54
Cell3,0.004008016032064128,3,3,13,1,7,3,3,4,5,2,14,25,5,49,1,64,5,18,26,8,2,1,0,2,5,0,0,2,1,0,11,40,81,63,37,37,4,14,44,25,59,979,609,289,7277,554,40,564,258,812,86,395,150,314,706,1383,116,29,1542,1789,1,3,0,1,1,0,0,1,0,0,3,14,68,35,29,34,14,7,44,75
Cell4,0.0060120240480961915,0,4,4,0,5,3,2,5,1,8,16,19,10,76,6,20,5,5,15,18,0,0,0,0,1,0,1,0,3,0,4,21,17,45,42,17,10,4,59,33,378,1577,811,191,4634,491,116,160,432,483,544,582,141,789,305,1341,216,145,1222,1862,1,1,0,0,0,0,2,2,0,3,4,28,28,35,108,28,19,14,61,14
Cell5,0.008016032064128256,4,6,11,0,3,3,8,3,8,1,3,11,16,17,18,37,8,10,8,16,3,0,1,1,0,0,1,0,4,1,15,94,23,60,57,45,3,6,38,11,47,2296,1560,1196,1008,512,149,158,63,351,66,264,208,519,490,1684,17,148,2195,1392,4,0,1,1,0,2,3,2,0,1,31,140,65,48,86,34,7,33,82,92
Cell6,0.01002004008016032,1,1,3,0,4,1,0,1,4,4,6,39,5,84,1,129,9,7,8,26,1,0,2,1,0,1,0,3,0,0,2,17,21,37,23,30,8,24,17,42,27,1792,521,515,6724,351,211,136,399,513,37,410,186,274,441,430,79,191,8055,551,1,1,0,0,3,0,0,2,0,0,3,11,40,61,89,26,5,15,9,33
Cell7,0.012024048096192383,1,1,6,0,2,0,3,0,5,4,18,30,10,63,15,51,1,7,1,7,1,2,0,0,1,1,0,2,0,2,4,24,18,68,31,29,7,12,78,56,128,1891,6,1791,2234,1172,101,265,109,168,165,204,121,232,276,1782,77,232,178,1274,1,3,0,1,0,0,3,2,1,0,17,31,21,25,92,13,1,19,12,10
Cell8,0.014028056112224447,6,1,6,0,3,0,0,2,6,4,1,43,5,81,7,47,8,12,7,13,4,1,1,0,0,0,0,0,0,1,27,31,6,92,39,104,4,11,42,16,332,900,689,2192,2309,297,159,150,310,223,421,657,126,338,547,611,128,124,3508,1899,0,2,1,3,2,1,1,1,0,1,8,13,55,34,27,11,3,8,35,18
Cell9,0.01603206412825651,1,1,1,0,5,0,6,3,2,5,0,37,26,48,14,54,6,3,7,39,1,2,0,0,2,4,1,1,1,1,3,45,23,39,92,39,2,15,8,40,127,2226,1441,316,1385,1190,153,279,196,324,155,504,120,57,693,1399,127,109,1034,1477,2,0,5,0,0,0,0,1,0,0,24,16,145,70,53,41,8,32,53,29
Cell10,0.018036072144288574,1,6,0,0,8,1,0,2,6,1,6,61,6,91,0,25,12,7,25,23,1,1,2,0,0,1,1,1,0,2,14,12,13,23,43,4,6,6,72,15,107,1430,608,2007,2848,307,83,84,344,129,128,228,367,1353,125,435,39,53,643,1377,5,4,0,1,3,0,1,1,0,2,9,13,65,6,96,105,15,9,14,31
